자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업
통신 및 방송 장비 제조업
소프트웨어 개발 및 공급업
컴퓨터 프로그래밍, 시스템 통합 및 관리업
전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업
전기 통신업
기타 전기장비 제조업
전기업
