기타 정보 서비스업
기타 전문 서비스업
시장조사 및 여론조사업
사업시설 유지·관리 서비스업
교육지원 서비스업
광고업
보험 및 연금관련 서비스업
여행사 및 기타 여행보조 서비스업
부동산 임대 및 공급업
창작 및 예술관련 서비스업
그외 기타 전문, 과학 및 기술 서비스업
기타 전문 도매업
회사 본부 및 경영 컨설팅 서비스업
유원지 및 기타 오락관련 서비스업
기타 사업지원 서비스업
일반 교습 학원
기타 교육기관
기타 과학기술 서비스업
영화, 비디오물, 방송프로그램 제작 및 배급업
텔레비전 방송업
음식점업
인쇄 및 인쇄관련 산업
금융 지원 서비스업
기록매체 복제업
기타 금융업
상품 중개업
서적, 잡지 및 기타 인쇄물 출판업
스포츠 서비스업
신탁업 및 집합투자업
은행 및 저축기관
일반 및 생활 숙박시설 운영업
전문디자인업
