1차 철강 제조업
가죽, 가방 및 유사제품 제조업
봉제의복 제조업
특수 목적용 기계 제조업
화학섬유 제조업
기타 섬유제품 제조업
의료용 기기 제조업
항공기,우주선 및 부품 제조업
1차 비철금속 제조업
금속 주조업
기타 비금속 광물제품 제조업
합성고무 및 플라스틱 물질 제조업
컴퓨터 및 주변장치 제조업
기초 의약물질 및 생물학적 제제 제조업
비료, 농약 및 살균, 살충제 제조업
플라스틱제품 제조업
자동차 재제조 부품 제조업
선박 및 보트 건조업
전자부품 제조업
제재 및 목재 가공업
기타 화학제품 제조업
운동 및 경기용구 제조업
측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외
영상 및 음향기기 제조업
사진장비 및 광학기기 제조업
기초 화학물질 제조업
직물직조 및 직물제품 제조업
그외 기타 운송장비 제조업
가구 제조업
의복 액세서리 제조업
가정용 기기 제조업
고무제품 제조업
골판지, 종이 상자 및 종이용기 제조업
구조용 금속제품, 탱크 및 증기발생기 제조업
귀금속 및 장신용품 제조업
그외 기타 제품 제조업
기타 금속 가공제품 제조업
기타 종이 및 판지 제품 제조업
나무제품 제조업
동물용 사료 및 조제식품 제조업
마그네틱 및 광학 매체 제조업
반도체 제조업
섬유제품 염색, 정리 및 마무리 가공업
연료용 가스 제조 및 배관공급업
유리 및 유리제품 제조업
인형,장난감 및 오락용품 제조업
일반 목적용 기계 제조업
일차전지 및 축전지 제조업
자동차 신품 부품 제조업
자동차용 엔진 및 자동차 제조업
자연과학 및 공학 연구개발업
작물 재배업
전구 및 조명장치 제조업
절연선 및 케이블 제조업
펄프, 종이 및 판지 제조업
편조의복 제조업
