,회사명,하위업종,상위업종
467,마니커에프앤지,"도축, 육류 가공 및 저장 처리업",식품 및 음료제조업
468,솔트웨어,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",정보기술 및 통신업
469,나노브릭,기초 화학물질 제조업,제조업
470,에스피시스템스,특수 목적용 기계 제조업,제조업
471,레이,의료용 기기 제조업,제조업
472,그린플러스,1차 비철금속 제조업,제조업
473,코윈테크,특수 목적용 기계 제조업,제조업
474,덕산테코피아,기타 화학제품 제조업,제조업
475,KBG,합성고무 및 플라스틱 물질 제조업,제조업
476,엑스페릭스,전자부품 제조업,제조업
477,세경하이테크,전자부품 제조업,제조업
478,윌링스,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",정보기술 및 통신업
479,대모,특수 목적용 기계 제조업,제조업
480,에이스토리,"영화, 비디오물, 방송프로그램 제작 및 배급업",서비스업
481,플리토,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",정보기술 및 통신업
482,헥토파이낸셜,기타 정보 서비스업,서비스업
483,아이스크림에듀,"서적, 잡지 및 기타 인쇄물 출판업",서비스업
484,펌텍코리아,플라스틱제품 제조업,제조업
485,에이에프더블류,일차전지 및 축전지 제조업,제조업
486,태성,특수 목적용 기계 제조업,제조업
487,엠에프엠코리아,편조의복 제조업,제조업
488,압타바이오,자연과학 및 공학 연구개발업,제조업
489,까스텔바작,"섬유, 의복, 신발 및 가죽제품 소매업",도매 및 소매업
490,마이크로디지탈,의료용 기기 제조업,제조업
491,코퍼스코리아,"영화, 비디오물, 방송프로그램 제작 및 배급업",서비스업
492,프로이천,반도체 제조업,제조업
493,수젠텍,의료용품 및 기타 의약 관련제품 제조업,식품 및 음료제조업
494,컴퍼니케이,기타 금융업,서비스업
495,피에스케이,특수 목적용 기계 제조업,제조업
496,현대무벡스,일반 목적용 기계 제조업,제조업
497,TS트릴리온,기타 화학제품 제조업,제조업
498,아모그린텍,전자부품 제조업,제조업
499,지노믹트리,자연과학 및 공학 연구개발업,제조업
500,이지케어텍,소프트웨어 개발 및 공급업,정보기술 및 통신업
501,미래에셋벤처투자,기타 금융업,서비스업
502,에코프로비엠,일차전지 및 축전지 제조업,제조업
503,셀리드,자연과학 및 공학 연구개발업,제조업
504,천보,기초 화학물질 제조업,제조업
505,이노테라피,의료용품 및 기타 의약 관련제품 제조업,식품 및 음료제조업
506,노랑풍선,여행사 및 기타 여행보조 서비스업,서비스업
507,웹케시,소프트웨어 개발 및 공급업,정보기술 및 통신업
508,비피도,기타 식품 제조업,식품 및 음료제조업
509,유틸렉스,기초 의약물질 및 생물학적 제제 제조업,제조업
510,디케이티,전자부품 제조업,제조업
511,아이엘사이언스,전구 및 조명장치 제조업,제조업
512,애니플러스,"영화, 비디오물, 방송프로그램 제작 및 배급업",서비스업
513,디와이씨,자동차 신품 부품 제조업,제조업
514,오하임앤컴퍼니,기타 생활용품 소매업,도매 및 소매업
515,위지윅스튜디오,"영화, 비디오물, 방송프로그램 제작 및 배급업",서비스업
516,국전약품,의약품 제조업,식품 및 음료제조업
517,에이비엘바이오,기초 의약물질 및 생물학적 제제 제조업,제조업
518,머큐리,통신 및 방송 장비 제조업,정보기술 및 통신업
519,전진바이오팜,기타 화학제품 제조업,제조업
520,뉴트리,기타 식품 제조업,식품 및 음료제조업
521,비투엔,소프트웨어 개발 및 공급업,정보기술 및 통신업
522,이노메트리,특수 목적용 기계 제조업,제조업
523,DH오토리드,자동차 신품 부품 제조업,제조업
524,에코캡,자동차 신품 부품 제조업,제조업
525,원바이오젠,의료용품 및 기타 의약 관련제품 제조업,식품 및 음료제조업
526,베스파,소프트웨어 개발 및 공급업,정보기술 및 통신업
527,윙입푸드,기타 금융업,서비스업
528,남화산업,스포츠 서비스업,서비스업
529,엠아이텍,의료용 기기 제조업,제조업
530,티로보틱스,특수 목적용 기계 제조업,제조업
531,네오펙트,의료용 기기 제조업,제조업
532,티앤알바이오팹,기초 의약물질 및 생물학적 제제 제조업,제조업
533,디알젬,의료용 기기 제조업,제조업
534,싸이토젠,자연과학 및 공학 연구개발업,제조업
535,아주IB투자,기타 금융업,서비스업
536,파멥신,의약품 제조업,식품 및 음료제조업
537,디케이앤디,플라스틱제품 제조업,제조업
538,에이치앤비디자인,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",정보기술 및 통신업
539,노바렉스,기타 식품 제조업,식품 및 음료제조업
540,셀리버리,자연과학 및 공학 연구개발업,제조업
541,대보마그네틱,기타 전기장비 제조업,정보기술 및 통신업
542,노바텍,그외 기타 제품 제조업,제조업
543,엘앤씨바이오,의약품 제조업,식품 및 음료제조업
544,네온테크,특수 목적용 기계 제조업,제조업
545,로보티즈,특수 목적용 기계 제조업,제조업
546,옵티팜,의료용품 및 기타 의약 관련제품 제조업,식품 및 음료제조업
547,에스퓨얼셀,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",정보기술 및 통신업
548,나우IB,기타 금융업,서비스업
549,푸드나무,무점포 소매업,도매 및 소매업
550,크리스에프앤씨,봉제의복 제조업,제조업
551,더블유에스아이,생활용품 도매업,도매 및 소매업
552,지티지웰니스,의료용 기기 제조업,제조업
553,엔피,기타 사업지원 서비스업,서비스업
554,피엔티엠에스,특수 목적용 기계 제조업,제조업
555,디지캡,소프트웨어 개발 및 공급업,정보기술 및 통신업
556,지니틱스,반도체 제조업,제조업
557,액트로,전자부품 제조업,제조업
558,오파스넷,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",정보기술 및 통신업
559,에이피티씨,특수 목적용 기계 제조업,제조업
560,바이오솔루션,기초 의약물질 및 생물학적 제제 제조업,제조업
561,대유,"비료, 농약 및 살균, 살충제 제조업",제조업
562,디아이티,특수 목적용 기계 제조업,제조업
563,에스에스알,소프트웨어 개발 및 공급업,정보기술 및 통신업
564,휴네시온,소프트웨어 개발 및 공급업,정보기술 및 통신업
565,한국유니온제약,의약품 제조업,식품 및 음료제조업
566,그리티,봉제의복 제조업,제조업
567,알로이스,통신 및 방송 장비 제조업,정보기술 및 통신업
568,올릭스,자연과학 및 공학 연구개발업,제조업
569,아이큐어,의약품 제조업,식품 및 음료제조업
570,SV인베스트먼트,기타 금융업,서비스업
571,EDGC,자연과학 및 공학 연구개발업,제조업
572,카이노스메드,자연과학 및 공학 연구개발업,제조업
573,파워넷,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",정보기술 및 통신업
574,카나리아바이오,동물용 사료 및 조제식품 제조업,제조업
575,세종메디칼,의료용 기기 제조업,제조업
576,제노레이,의료용 기기 제조업,제조업
577,제이시스메디칼,의료용 기기 제조업,제조업
578,JTC,종합 소매업,도매 및 소매업
579,네오셈,특수 목적용 기계 제조업,제조업
580,케어랩스,광고업,서비스업
581,린드먼아시아,신탁업 및 집합투자업,서비스업
582,오스테오닉,의료용 기기 제조업,제조업
583,엔지켐생명과학,기초 의약물질 및 생물학적 제제 제조업,제조업
584,동구바이오제약,의약품 제조업,식품 및 음료제조업
585,아시아종묘,작물 재배업,제조업
586,알리코제약,의료용품 및 기타 의약 관련제품 제조업,식품 및 음료제조업
587,카페24,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",정보기술 및 통신업
588,링크제니시스,소프트웨어 개발 및 공급업,정보기술 및 통신업
589,배럴,봉제의복 제조업,제조업
590,SG,기타 비금속 광물제품 제조업,제조업
591,씨앤지하이테크,특수 목적용 기계 제조업,제조업
592,시스웍,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",제조업
593,디바이스이엔지,특수 목적용 기계 제조업,제조업
594,레이크머티리얼즈,기타 화학제품 제조업,제조업
595,씨티케이,기타 화학제품 제조업,제조업
596,메카로,반도체 제조업,제조업
597,에스트래픽,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",정보기술 및 통신업
598,체리부로,"도축, 육류 가공 및 저장 처리업",식품 및 음료제조업
599,대원,건물 건설업,건설 및 공사업
600,비즈니스온,소프트웨어 개발 및 공급업,정보기술 및 통신업
601,스튜디오드래곤,"영화, 비디오물, 방송프로그램 제작 및 배급업",서비스업
602,비디아이,일반 목적용 기계 제조업,제조업
603,코오롱티슈진,기초 의약물질 및 생물학적 제제 제조업,제조업
604,영화테크,자동차 신품 부품 제조업,제조업
605,폴라리스세원,자동차 신품 부품 제조업,제조업
606,상신전자,전자부품 제조업,제조업
607,야스,특수 목적용 기계 제조업,제조업
608,인산가,기타 식품 제조업,식품 및 음료제조업
609,휴엠앤씨,그외 기타 제품 제조업,제조업
610,신흥에스이씨,일차전지 및 축전지 제조업,제조업
611,유티아이,전자부품 제조업,제조업
612,선익시스템,특수 목적용 기계 제조업,제조업
613,엠플러스,특수 목적용 기계 제조업,제조업
614,앱클론,의료용품 및 기타 의약 관련제품 제조업,식품 및 음료제조업
615,어스앤에어로스페이스,"항공기,우주선 및 부품 제조업",제조업
616,펄어비스,소프트웨어 개발 및 공급업,정보기술 및 통신업
617,케이피에스,특수 목적용 기계 제조업,제조업
618,덕우전자,전자부품 제조업,제조업
619,지오릿에너지,"건축기술, 엔지니어링 및 관련 기술 서비스업",건설 및 공사업
620,케일럼,"구조용 금속제품, 탱크 및 증기발생기 제조업",제조업
621,알에스오토메이션,전자부품 제조업,제조업
622,컬러레이,기타 금융업,서비스업
623,와이즈버즈,광고업,서비스업
624,모트렉스,자동차 신품 부품 제조업,제조업
625,데이타솔루션,기계장비 및 관련 물품 도매업,도매 및 소매업
626,지니언스,소프트웨어 개발 및 공급업,정보기술 및 통신업
627,디앤씨미디어,"서적, 잡지 및 기타 인쇄물 출판업",서비스업
628,이즈미디어,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",제조업
629,힘스,특수 목적용 기계 제조업,제조업
630,브이원텍,특수 목적용 기계 제조업,제조업
631,아우딘퓨쳐스,기타 화학제품 제조업,제조업
632,이녹스첨단소재,전자부품 제조업,제조업
633,하림지주,기타 금융업,서비스업
634,덴티스,의료용 기기 제조업,제조업
635,나인테크,특수 목적용 기계 제조업,제조업
636,보라티알,음·식료품 및 담배 도매업,도매 및 소매업
637,매일유업,낙농제품 및 식용빙과류 제조업,식품 및 음료제조업
638,삼양옵틱스,사진장비 및 광학기기 제조업,제조업
639,이랜시스,전자부품 제조업,제조업
640,필옵틱스,특수 목적용 기계 제조업,제조업
641,포인트엔지니어링,기타 금속 가공제품 제조업,제조업
642,하나머티리얼즈,반도체 제조업,제조업
643,소프트캠프,소프트웨어 개발 및 공급업,정보기술 및 통신업
644,와이엠티,기초 화학물질 제조업,제조업
645,AP시스템,특수 목적용 기계 제조업,제조업
646,유에스티,1차 철강 제조업,제조업
647,이엘피,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",제조업
648,유비쿼스,통신 및 방송 장비 제조업,정보기술 및 통신업
649,서진시스템,통신 및 방송 장비 제조업,정보기술 및 통신업
650,코미코,특수 목적용 기계 제조업,제조업
651,아스타,의료용품 및 기타 의약 관련제품 제조업,식품 및 음료제조업
652,에스디생명공학,기타 화학제품 제조업,제조업
653,신신제약,의약품 제조업,식품 및 음료제조업
654,에프엔에스테크,특수 목적용 기계 제조업,제조업
655,모바일어플라이언스,소프트웨어 개발 및 공급업,정보기술 및 통신업
656,피씨엘,의료용품 및 기타 의약 관련제품 제조업,식품 및 음료제조업
657,서플러스글로벌,기계장비 및 관련 물품 도매업,도매 및 소매업
658,유바이오로직스,의약품 제조업,식품 및 음료제조업
659,한국비엔씨,기초 의약물질 및 생물학적 제제 제조업,제조업
660,DSC인베스트먼트,신탁업 및 집합투자업,서비스업
661,TS인베스트먼트,신탁업 및 집합투자업,서비스업
662,피엠티,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",제조업
663,애니젠,기초 의약물질 및 생물학적 제제 제조업,제조업
664,유니온커뮤니티,통신 및 방송 장비 제조업,정보기술 및 통신업
665,신라젠,자연과학 및 공학 연구개발업,제조업
666,자비스,특수 목적용 기계 제조업,제조업
667,오션브릿지,특수 목적용 기계 제조업,제조업
668,퓨쳐켐,의약품 제조업,식품 및 음료제조업
669,뉴파워프라즈마,특수 목적용 기계 제조업,제조업
670,엘앤케이바이오,의료용 기기 제조업,제조업
671,핸디소프트,소프트웨어 개발 및 공급업,정보기술 및 통신업
672,클리오,기타 화학제품 제조업,제조업
673,오가닉티코스메틱,기타 금융업,서비스업
674,얼라인드,사진장비 및 광학기기 제조업,제조업
675,세화피앤씨,기타 화학제품 제조업,제조업
676,인크로스,광고업,서비스업
677,에이치엘사이언스,기타 식품 제조업,식품 및 음료제조업
678,코스메카코리아,기타 화학제품 제조업,제조업
679,GRT,기타 금융업,서비스업
680,골든센츄리,기타 금융업,서비스업
681,인텔리안테크,통신 및 방송 장비 제조업,정보기술 및 통신업
682,에이치시티,기타 과학기술 서비스업,서비스업
683,잉글우드랩,기타 화학제품 제조업,제조업
684,앤디포스,플라스틱제품 제조업,제조업
685,수산아이앤티,소프트웨어 개발 및 공급업,정보기술 및 통신업
686,미투온,소프트웨어 개발 및 공급업,정보기술 및 통신업
687,예선테크,플라스틱제품 제조업,제조업
688,유니테크노,자동차 신품 부품 제조업,제조업
689,모비스,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",정보기술 및 통신업
690,나무기술,소프트웨어 개발 및 공급업,정보기술 및 통신업
691,자이글,가정용 기기 제조업,제조업
692,헝셩그룹,기타 금융업,서비스업
693,에코마케팅,광고업,서비스업
694,엔지스테크널러지,소프트웨어 개발 및 공급업,정보기술 및 통신업
695,우리손에프앤지,"도축, 육류 가공 및 저장 처리업",식품 및 음료제조업
696,아이윈플러스,전자부품 제조업,제조업
697,장원테크,통신 및 방송 장비 제조업,정보기술 및 통신업
698,위니아,가정용 기기 제조업,제조업
699,비엘,자연과학 및 공학 연구개발업,제조업
700,피앤씨테크,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",정보기술 및 통신업
701,로스웰,기타 금융업,서비스업
702,에스티팜,의약품 제조업,식품 및 음료제조업
703,지씨셀,"그외 기타 전문, 과학 및 기술 서비스업",서비스업
704,알엔투테크놀로지,전자부품 제조업,제조업
705,줌인터넷,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",정보기술 및 통신업
706,휴온스,의약품 제조업,식품 및 음료제조업
707,원익IPS,특수 목적용 기계 제조업,제조업
708,레이언스,의료용 기기 제조업,제조업
709,동양파일,"시멘트, 석회, 플라스터 및 그 제품 제조업",건설 및 공사업
710,팬젠,의약품 제조업,식품 및 음료제조업
711,AP위성,"항공기,우주선 및 부품 제조업",제조업
712,비유테크놀러지,소프트웨어 개발 및 공급업,정보기술 및 통신업
713,큐리언트,자연과학 및 공학 연구개발업,제조업
714,안트로젠,기타 전문 도매업,서비스업
715,슈프리마,통신 및 방송 장비 제조업,정보기술 및 통신업
716,유니트론텍,자동차 부품 및 내장품 판매업,도매 및 소매업
717,크리스탈신소재,기타 금융업,서비스업
718,더코디,특수 목적용 기계 제조업,제조업
719,에스와이,"구조용 금속제품, 탱크 및 증기발생기 제조업",제조업
720,와이아이케이,특수 목적용 기계 제조업,제조업
721,육일씨엔에쓰,전자부품 제조업,제조업
722,커머스마이너,상품 종합 도매업,도매 및 소매업
723,휴젤,기초 의약물질 및 생물학적 제제 제조업,제조업
724,한국맥널티,기타 식품 제조업,식품 및 음료제조업
725,덱스터,"영화, 비디오물, 방송프로그램 제작 및 배급업",서비스업
726,아진산업,자동차 신품 부품 제조업,제조업
727,HLB제약,자연과학 및 공학 연구개발업,제조업
728,강스템바이오텍,기초 의약물질 및 생물학적 제제 제조업,제조업
729,메가엠디,일반 교습 학원,서비스업
730,보광산업,기타 비금속 광물제품 제조업,제조업
731,파크시스템스,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",제조업
732,에치에프알,통신 및 방송 장비 제조업,정보기술 및 통신업
733,예스티,특수 목적용 기계 제조업,제조업
734,코스맥스엔비티,기타 식품 제조업,식품 및 음료제조업
735,멕아이씨에스,의료용 기기 제조업,제조업
736,원익피앤이,특수 목적용 기계 제조업,제조업
737,하이즈항공,"항공기,우주선 및 부품 제조업",제조업
738,DXVX,기타 과학기술 서비스업,서비스업
739,케이디켐,기타 화학제품 제조업,제조업
740,네오오토,자동차 신품 부품 제조업,제조업
741,엔투텍,특수 목적용 기계 제조업,제조업
742,케어젠,기초 의약물질 및 생물학적 제제 제조업,제조업
743,아이진,자연과학 및 공학 연구개발업,제조업
744,나무가,전자부품 제조업,제조업
745,이노시스,의료용 기기 제조업,제조업
746,본느,기타 화학제품 제조업,제조업
747,엔케이맥스,기초 의약물질 및 생물학적 제제 제조업,제조업
748,KH 건설,토목 건설업,건설 및 공사업
749,엑시콘,특수 목적용 기계 제조업,제조업
750,뉴지랩파마,기계장비 및 관련 물품 도매업,도매 및 소매업
751,케이엠제약,기타 화학제품 제조업,제조업
752,한송네오텍,특수 목적용 기계 제조업,제조업
753,패션플랫폼,봉제의복 제조업,제조업
754,넥슨게임즈,소프트웨어 개발 및 공급업,정보기술 및 통신업
755,제너셈,특수 목적용 기계 제조업,제조업
756,타이거일렉,전자부품 제조업,제조업
757,인포마크,통신 및 방송 장비 제조업,정보기술 및 통신업
758,씨아이에스,특수 목적용 기계 제조업,제조업
759,에이텍모빌리티,통신 및 방송 장비 제조업,정보기술 및 통신업
760,웹스,합성고무 및 플라스틱 물질 제조업,제조업
761,파인텍,특수 목적용 기계 제조업,제조업
762,세토피아,1차 철강 제조업,제조업
763,심텍,전자부품 제조업,제조업
764,흥국에프엔비,비알코올음료 및 얼음 제조업,식품 및 음료제조업
765,쎄노텍,기타 비금속 광물제품 제조업,제조업
766,칩스앤미디어,반도체 제조업,제조업
767,아시아경제,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",정보기술 및 통신업
768,아이쓰리시스템,전자부품 제조업,제조업
769,로지시스,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",정보기술 및 통신업
770,켐트로스,기타 화학제품 제조업,제조업
771,파마리서치,의료용품 및 기타 의약 관련제품 제조업,식품 및 음료제조업
772,디와이디,생활용품 도매업,도매 및 소매업
773,펩트론,기초 의약물질 및 생물학적 제제 제조업,제조업
774,RFHIC,통신 및 방송 장비 제조업,정보기술 및 통신업
775,동운아나텍,반도체 제조업,제조업
776,일월지엠엘,상품 종합 도매업,도매 및 소매업
777,헥토이노베이션,기타 정보 서비스업,서비스업
778,이큐셀,특수 목적용 기계 제조업,제조업
779,코아스템켐온,의약품 제조업,식품 및 음료제조업
780,에스엘에너지,반도체 제조업,제조업
781,베셀,특수 목적용 기계 제조업,제조업
782,넵튠,소프트웨어 개발 및 공급업,정보기술 및 통신업
783,미래생명자원,동물용 사료 및 조제식품 제조업,제조업
784,싸이맥스,특수 목적용 기계 제조업,제조업
785,러셀,특수 목적용 기계 제조업,제조업
786,픽셀플러스,전자부품 제조업,제조업
787,디딤이앤에프,음식점업,서비스업
788,제노포커스,기초 의약물질 및 생물학적 제제 제조업,제조업
789,우정바이오,자연과학 및 공학 연구개발업,제조업
790,토박스코리아,"섬유, 의복, 신발 및 가죽제품 소매업",도매 및 소매업
791,이노인스트루먼트,통신 및 방송 장비 제조업,정보기술 및 통신업
792,우리산업,자동차 신품 부품 제조업,제조업
793,메가스터디교육,일반 교습 학원,서비스업
794,휴센텍,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",제조업
795,로보로보,기타 전기장비 제조업,정보기술 및 통신업
796,디알텍,의료용 기기 제조업,제조업
797,에이비프로바이오,특수 목적용 기계 제조업,제조업
798,골프존,소프트웨어 개발 및 공급업,정보기술 및 통신업
799,클래시스,의료용 기기 제조업,제조업
800,FSN,소프트웨어 개발 및 공급업,정보기술 및 통신업
801,포시에스,소프트웨어 개발 및 공급업,정보기술 및 통신업
802,덕산네오룩스,전자부품 제조업,제조업
803,국일신동,1차 비철금속 제조업,제조업
804,바디텍메드,의료용품 및 기타 의약 관련제품 제조업,식품 및 음료제조업
805,스튜디오산타클로스,창작 및 예술관련 서비스업,서비스업
806,썸에이지,소프트웨어 개발 및 공급업,정보기술 및 통신업
807,와이제이엠게임즈,전자부품 제조업,제조업
808,에이팩트,"그외 기타 전문, 과학 및 기술 서비스업",서비스업
809,휴메딕스,의약품 제조업,식품 및 음료제조업
810,바이오로그디바이스,전자부품 제조업,제조업
811,서전기전,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",정보기술 및 통신업
812,아스트,"항공기,우주선 및 부품 제조업",제조업
813,오킨스전자,전자부품 제조업,제조업
814,지란지교시큐리티,소프트웨어 개발 및 공급업,정보기술 및 통신업
815,NEW,"영화, 비디오물, 방송프로그램 제작 및 배급업",서비스업
816,아이티센,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",정보기술 및 통신업
817,녹십자엠에스,의료용품 및 기타 의약 관련제품 제조업,식품 및 음료제조업
818,디티앤씨,기타 과학기술 서비스업,서비스업
819,셀바스헬스케어,의료용 기기 제조업,제조업
820,정다운,"도축, 육류 가공 및 저장 처리업",식품 및 음료제조업
821,하이로닉,의료용 기기 제조업,제조업
822,랩지노믹스,자연과학 및 공학 연구개발업,제조업
823,에이디테크놀로지,반도체 제조업,제조업
824,비씨월드제약,의약품 제조업,식품 및 음료제조업
825,미스터블루,기타 정보 서비스업,서비스업
826,알테오젠,자연과학 및 공학 연구개발업,제조업
827,베노티앤알,실내건축 및 건축마무리 공사업,건설 및 공사업
828,대창스틸,1차 철강 제조업,제조업
829,에프엔씨엔터,창작 및 예술관련 서비스업,서비스업
830,휴마시스,의료용품 및 기타 의약 관련제품 제조업,식품 및 음료제조업
831,텔콘RF제약,통신 및 방송 장비 제조업,정보기술 및 통신업
832,지엘팜텍,자연과학 및 공학 연구개발업,제조업
833,글로벌텍스프리,금융 지원 서비스업,서비스업
834,디에이테크놀로지,특수 목적용 기계 제조업,제조업
835,액션스퀘어,소프트웨어 개발 및 공급업,정보기술 및 통신업
836,엑셈,소프트웨어 개발 및 공급업,정보기술 및 통신업
837,테고사이언스,기초 의약물질 및 생물학적 제제 제조업,제조업
838,슈피겐코리아,그외 기타 제품 제조업,제조업
839,영우디에스피,특수 목적용 기계 제조업,제조업
840,드림시큐리티,소프트웨어 개발 및 공급업,정보기술 및 통신업
841,메디아나,의료용 기기 제조업,제조업
842,데브시스터즈,소프트웨어 개발 및 공급업,정보기술 및 통신업
843,스피어파워,"펄프, 종이 및 판지 제조업",제조업
844,휴림네트웍스,통신 및 방송 장비 제조업,정보기술 및 통신업
845,고려시멘트,"시멘트, 석회, 플라스터 및 그 제품 제조업",건설 및 공사업
846,신화콘텍,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",정보기술 및 통신업
847,파버나인,전자부품 제조업,제조업
848,덕신하우징,"구조용 금속제품, 탱크 및 증기발생기 제조업",제조업
849,창해에탄올,알코올음료 제조업,식품 및 음료제조업
850,윈하이텍,"구조용 금속제품, 탱크 및 증기발생기 제조업",제조업
851,아진엑스텍,반도체 제조업,제조업
852,콜마비앤에이치,기초 의약물질 및 생물학적 제제 제조업,제조업
853,트루윈,전자부품 제조업,제조업
854,코아시아씨엠,사진장비 및 광학기기 제조업,제조업
855,캐스텍코리아,자동차 신품 부품 제조업,제조업
856,나노,기초 화학물질 제조업,제조업
857,케이사인,소프트웨어 개발 및 공급업,정보기술 및 통신업
858,오이솔루션,통신 및 방송 장비 제조업,정보기술 및 통신업
859,한국정보인증,소프트웨어 개발 및 공급업,정보기술 및 통신업
860,다산솔루에타,전자부품 제조업,제조업
861,현대이지웰,소프트웨어 개발 및 공급업,정보기술 및 통신업
862,SGA솔루션즈,소프트웨어 개발 및 공급업,정보기술 및 통신업
863,기가레인,특수 목적용 기계 제조업,제조업
864,인트로메딕,의료용 기기 제조업,제조업
865,알티캐스트,소프트웨어 개발 및 공급업,정보기술 및 통신업
866,현대공업,자동차 신품 부품 제조업,제조업
867,엔브이에이치코리아,자동차 신품 부품 제조업,제조업
868,탑코미디어,통신 및 방송 장비 제조업,정보기술 및 통신업
869,큐브엔터,오디오물 출판 및 원판 녹음업,도매 및 소매업
870,라이온켐텍,기타 화학제품 제조업,제조업
871,램테크놀러지,기초 화학물질 제조업,제조업
872,THE MIDONG,영상 및 음향기기 제조업,제조업
873,협진,특수 목적용 기계 제조업,제조업
874,해성옵틱스,사진장비 및 광학기기 제조업,제조업
875,내츄럴엔도텍,자연과학 및 공학 연구개발업,제조업
876,두산테스나,"그외 기타 전문, 과학 및 기술 서비스업",서비스업
877,파수,소프트웨어 개발 및 공급업,정보기술 및 통신업
878,엘티씨,기초 화학물질 제조업,제조업
879,지엔씨에너지,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",정보기술 및 통신업
880,아미코젠,기타 식품 제조업,식품 및 음료제조업
881,GH신소재,기타 섬유제품 제조업,제조업
882,파이오링크,통신 및 방송 장비 제조업,정보기술 및 통신업
883,KG ETS,기타 화학제품 제조업,제조업
884,나스미디어,광고업,서비스업
885,엑세스바이오,의료용품 및 기타 의약 관련제품 제조업,식품 및 음료제조업
886,레고켐바이오,자연과학 및 공학 연구개발업,제조업
887,윈팩,반도체 제조업,제조업
888,코렌텍,의료용 기기 제조업,제조업
889,제로투세븐,생활용품 도매업,도매 및 소매업
890,한솔아이원스,특수 목적용 기계 제조업,제조업
891,우리이앤엘,반도체 제조업,제조업
892,아이센스,의료용 기기 제조업,제조업
893,스킨앤스킨,기타 화학제품 제조업,제조업
894,SBI핀테크솔루션즈,소프트웨어 개발 및 공급업,정보기술 및 통신업
895,우리로,기타 전문 도매업,서비스업
896,디젠스,자동차 신품 부품 제조업,제조업
897,와이엠씨,전자부품 제조업,제조업
898,아바텍,전자부품 제조업,제조업
899,코이즈,플라스틱제품 제조업,제조업
900,SBW생명과학,전자부품 제조업,제조업
901,네이블커뮤니케이션즈,소프트웨어 개발 및 공급업,정보기술 및 통신업
902,노블엠앤비,사진장비 및 광학기기 제조업,제조업
903,피엔티,특수 목적용 기계 제조업,제조업
904,비아트론,특수 목적용 기계 제조업,제조업
905,빛샘전자,전자부품 제조업,제조업
906,사람인,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",정보기술 및 통신업
907,제룡산업,"구조용 금속제품, 탱크 및 증기발생기 제조업",제조업
908,남화토건,건물 건설업,건설 및 공사업
909,메지온,자연과학 및 공학 연구개발업,제조업
910,원익머트리얼즈,기초 화학물질 제조업,제조업
911,디엔에이링크,자연과학 및 공학 연구개발업,제조업
912,나이스디앤비,기타 사업지원 서비스업,서비스업
913,시큐브,소프트웨어 개발 및 공급업,정보기술 및 통신업
914,서암기계공업,일반 목적용 기계 제조업,제조업
915,씨유메디칼,의료용 기기 제조업,제조업
916,키네마스터,소프트웨어 개발 및 공급업,정보기술 및 통신업
917,비덴트,통신 및 방송 장비 제조업,정보기술 및 통신업
918,신진에스엠,기타 금속 가공제품 제조업,제조업
919,이엠넷,광고업,서비스업
920,와이지엔터테인먼트,오디오물 출판 및 원판 녹음업,도매 및 소매업
921,스마트솔루션즈,특수 목적용 기계 제조업,제조업
922,에이티세미콘,"그외 기타 전문, 과학 및 기술 서비스업",서비스업
923,테크윙,특수 목적용 기계 제조업,제조업
924,씨큐브,기초 화학물질 제조업,제조업
925,에스엠코어,일반 목적용 기계 제조업,제조업
926,씨엔플러스,전자부품 제조업,제조업
927,로보스타,특수 목적용 기계 제조업,제조업
928,대한과학,기계장비 및 관련 물품 도매업,도매 및 소매업
929,아이디스,통신 및 방송 장비 제조업,정보기술 및 통신업
930,제이씨케미칼,기타 화학제품 제조업,제조업
931,아이씨디,특수 목적용 기계 제조업,제조업
