음·식료품 및 담배 도매업
자동차 판매업
상품 종합 도매업
생활용품 도매업
기계장비 및 관련 물품 도매업
음·식료품 및 담배 소매업
기타 상품 전문 소매업
자동차 부품 및 내장품 판매업
연료 소매업
가전제품 및 정보통신장비 소매업
기타 생활용품 소매업
섬유, 의복, 신발 및 가죽제품 소매업
종합 소매업
무점포 소매업
오디오물 출판 및 원판 녹음업
산업용 농·축산물 및 동·식물 도매업
