곡물가공품, 전분 및 전분제품 제조업
비알코올음료 및 얼음 제조업
과실, 채소 가공 및 저장 처리업
낙농제품 및 식용빙과류 제조업
기타 식품 제조업
알코올음료 제조업
의료용품 및 기타 의약 관련제품 제조업
도축, 육류 가공 및 저장 처리업
의약품 제조업
